,cena,czynsz,forma_wlasnosci,liczba_pieter,liczba_pokoi,material_budynku,ogrzewanie,okna,pietro,powierzchnia,rodzaj_zabudowy,rynek,stan_wykonczenia,wiek
830,329000.0,300.0,pelna_wlasnosc,4,3,cegla,miejskie,plastikowe,1.0,55.0,blok,wtorny,do_zamieszkania,69
831,305220.0,350.0,pelna_wlasnosc,4,3,pustak,miejskie,plastikowe,0.0,50.87,apartamentowiec,pierwotny,do_wykonczenia,1
832,251433.0,350.0,pelna_wlasnosc,4,2,pustak,miejskie,plastikowe,0.0,39.91,apartamentowiec,pierwotny,do_wykonczenia,1
833,850000.0,350.0,pelna_wlasnosc,2,3,beton,miejskie,plastikowe,0.0,117.0,blok,wtorny,do_zamieszkania,39
834,152000.0,340.0,spoldzielcze_wlasnosciowe,10,1,beton,miejskie,plastikowe,8.0,32.0,blok,wtorny,do_zamieszkania,39
835,339268.0,350.0,pelna_wlasnosc,6,3,pustak,miejskie,plastikowe,1.0,47.45,apartamentowiec,pierwotny,do_wykonczenia,0
836,205000.0,350.0,spoldzielcze_wlasnosciowe,4,2,cegla,miejskie,plastikowe,0.0,38.0,blok,wtorny,do_zamieszkania,39
837,251433.0,350.0,pelna_wlasnosc,4,2,pustak,miejskie,plastikowe,0.0,39.91,apartamentowiec,pierwotny,do_wykonczenia,1
838,269000.0,350.0,pelna_wlasnosc,3,2,inne,miejskie,plastikowe,1.0,42.0,blok,wtorny,do_zamieszkania,39
839,299900.0,350.0,pelna_wlasnosc,10,2,beton,miejskie,plastikowe,4.0,63.1,blok,wtorny,do_remontu,39
840,60000.0,350.0,pelna_wlasnosc,3,1,beton,miejskie,plastikowe,1.0,32.0,blok,wtorny,do_zamieszkania,39
841,152000.0,350.0,pelna_wlasnosc,10,1,beton,miejskie,plastikowe,8.0,32.0,blok,wtorny,do_zamieszkania,39
842,285000.0,100.0,pelna_wlasnosc,5,2,inne,miejskie,drewniane,3.0,61.0,kamienica,wtorny,do_zamieszkania,119
843,302702.0,350.0,pelna_wlasnosc,10,3,pustak,miejskie,plastikowe,1.0,52.19,apartamentowiec,pierwotny,do_wykonczenia,0
844,270000.0,214.0,pelna_wlasnosc,3,2,beton,miejskie,plastikowe,1.0,56.0,blok,wtorny,do_zamieszkania,39
845,679000.0,900.0,pelna_wlasnosc,3,6,cegla,gazowe,plastikowe,2.0,167.0,kamienica,wtorny,do_remontu,49
846,305220.0,120.0,pelna_wlasnosc,4,3,pustak,miejskie,plastikowe,0.0,50.87,apartamentowiec,pierwotny,do_wykonczenia,1
847,244776.0,350.0,pelna_wlasnosc,10,2,pustak,miejskie,plastikowe,1.0,39.48,apartamentowiec,pierwotny,do_wykonczenia,0
848,348513.0,350.0,pelna_wlasnosc,10,4,pustak,miejskie,plastikowe,1.0,59.07,apartamentowiec,pierwotny,do_wykonczenia,0
849,295000.0,350.0,pelna_wlasnosc,10,3,beton,miejskie,plastikowe,8.0,61.0,blok,wtorny,do_remontu,39
850,414758.0,350.0,pelna_wlasnosc,4,3,pustak,miejskie,plastikowe,1.0,71.51,apartamentowiec,pierwotny,do_wykonczenia,0
851,556770.0,350.0,pelna_wlasnosc,4,3,pustak,miejskie,plastikowe,4.0,83.1,apartamentowiec,pierwotny,do_wykonczenia,0
852,325280.0,350.0,pelna_wlasnosc,8,2,pustak,miejskie,plastikowe,6.0,40.66,apartamentowiec,pierwotny,do_zamieszkania,0
853,361168.0,350.0,pelna_wlasnosc,3,3,pustak,miejskie,plastikowe,1.0,62.29,blok,pierwotny,do_wykonczenia,-1
854,283182.0,350.0,pelna_wlasnosc,3,2,pustak,miejskie,plastikowe,0.0,45.83,blok,pierwotny,do_wykonczenia,-1
855,318370.0,350.0,pelna_wlasnosc,8,2,pustak,miejskie,plastikowe,3.0,40.3,apartamentowiec,pierwotny,do_wykonczenia,0
856,307000.0,350.0,pelna_wlasnosc,3,2,beton,miejskie,plastikowe,1.0,51.3,blok,wtorny,do_zamieszkania,39
857,270000.0,315.0,pelna_wlasnosc,3,5,cegla,elektryczne,plastikowe,2.0,68.0,kamienica,wtorny,do_zamieszkania,39
858,230000.0,350.0,pelna_wlasnosc,11,2,beton,miejskie,plastikowe,11.0,36.0,blok,wtorny,do_zamieszkania,39
859,2600000.0,350.0,pelna_wlasnosc,3,5,inne,miejskie,plastikowe,3.0,180.0,apartamentowiec,wtorny,do_zamieszkania,39
860,163631.0,350.0,pelna_wlasnosc,3,1,pustak,miejskie,plastikowe,1.0,26.51,blok,pierwotny,do_wykonczenia,-1
861,237000.0,350.0,pelna_wlasnosc,10,1,pustak,miejskie,plastikowe,5.0,35.0,apartamentowiec,pierwotny,do_wykonczenia,0
862,162706.0,350.0,pelna_wlasnosc,3,1,pustak,miejskie,plastikowe,1.0,26.36,blok,pierwotny,do_wykonczenia,-1
863,259000.0,300.0,spoldzielcze_wlasnosciowe,10,3,beton,miejskie,plastikowe,9.0,53.52,blok,wtorny,do_zamieszkania,39
864,560000.0,350.0,pelna_wlasnosc,4,4,pustak,miejskie,plastikowe,3.0,82.28,apartamentowiec,pierwotny,do_wykonczenia,0
865,312913.0,120.0,pelna_wlasnosc,4,2,pustak,miejskie,plastikowe,0.0,50.05,apartamentowiec,pierwotny,do_wykonczenia,0
866,283824.0,780.0,spoldzielcze_wlasnosciowe,4,3,beton,kotlownia,plastikowe,4.0,73.0,blok,wtorny,do_wykonczenia,37
867,323962.0,350.0,pelna_wlasnosc,5,3,pustak,miejskie,plastikowe,1.0,51.78,blok,pierwotny,do_wykonczenia,0
868,664884.0,180.0,pelna_wlasnosc,4,4,pustak,miejskie,plastikowe,4.0,90.36,apartamentowiec,pierwotny,do_wykonczenia,0
869,556770.0,180.0,pelna_wlasnosc,4,3,pustak,miejskie,plastikowe,4.0,83.01,apartamentowiec,pierwotny,do_wykonczenia,0
870,422418.0,150.0,pelna_wlasnosc,4,3,pustak,miejskie,plastikowe,0.0,61.22,apartamentowiec,pierwotny,do_wykonczenia,0
871,385000.0,350.0,pelna_wlasnosc,11,3,beton,miejskie,plastikowe,6.0,58.4,blok,wtorny,do_remontu,39
872,234000.0,350.0,spoldzielcze_wl._z_kw,5,2,beton,miejskie,drewniane,2.0,38.6,blok,wtorny,do_wykonczenia,39
873,2600000.0,350.0,pelna_wlasnosc,2,5,cegla,miejskie,plastikowe,2.0,172.1,apartamentowiec,wtorny,do_zamieszkania,1
874,769000.0,350.0,pelna_wlasnosc,4,7,cegla,gazowe,plastikowe,4.0,132.0,kamienica,wtorny,do_zamieszkania,114
875,324870.0,350.0,pelna_wlasnosc,8,2,pustak,miejskie,plastikowe,7.0,41.65,apartamentowiec,pierwotny,do_wykonczenia,0
876,605000.0,350.0,pelna_wlasnosc,1,4,pustak,gazowe,plastikowe,1.0,106.0,apartamentowiec,pierwotny,do_wykonczenia,1
877,195000.0,350.0,pelna_wlasnosc,4,3,cegla,miejskie,plastikowe,1.0,54.0,kamienica,wtorny,do_remontu,39
878,450000.0,650.0,pelna_wlasnosc,10,3,beton,miejskie,plastikowe,9.0,61.0,blok,wtorny,do_zamieszkania,35
879,366830.0,350.0,pelna_wlasnosc,8,3,pustak,miejskie,plastikowe,0.0,46.73,apartamentowiec,pierwotny,do_wykonczenia,0
880,352420.0,350.0,pelna_wlasnosc,6,3,pustak,miejskie,plastikowe,0.0,52.6,apartamentowiec,pierwotny,do_wykonczenia,0
881,343584.0,350.0,pelna_wlasnosc,6,3,pustak,miejskie,plastikowe,0.0,47.72,apartamentowiec,pierwotny,do_wykonczenia,0
882,344016.0,350.0,pelna_wlasnosc,6,3,pustak,miejskie,plastikowe,0.0,47.78,apartamentowiec,pierwotny,do_wykonczenia,0
883,333645.0,350.0,pelna_wlasnosc,8,2,pustak,miejskie,plastikowe,0.0,46.02,apartamentowiec,pierwotny,do_wykonczenia,0
884,289224.0,350.0,pelna_wlasnosc,5,2,pustak,miejskie,plastikowe,0.0,51.19,apartamentowiec,pierwotny,do_wykonczenia,0
885,299151.0,350.0,pelna_wlasnosc,5,2,pustak,miejskie,plastikowe,5.0,46.38,apartamentowiec,pierwotny,do_wykonczenia,0
886,386400.0,350.0,pelna_wlasnosc,6,4,pustak,miejskie,plastikowe,0.0,55.2,apartamentowiec,pierwotny,do_wykonczenia,0
887,346405.0,350.0,pelna_wlasnosc,6,3,pustak,miejskie,plastikowe,1.0,47.78,apartamentowiec,pierwotny,do_wykonczenia,0
888,258463.0,350.0,pelna_wlasnosc,5,2,pustak,miejskie,plastikowe,0.0,39.46,apartamentowiec,pierwotny,do_wykonczenia,0
889,343810.0,350.0,pelna_wlasnosc,5,3,pustak,miejskie,plastikowe,0.0,52.49,apartamentowiec,pierwotny,do_wykonczenia,0
890,300224.0,350.0,pelna_wlasnosc,5,2,pustak,miejskie,plastikowe,5.0,46.91,apartamentowiec,pierwotny,do_wykonczenia,0
891,322629.0,350.0,pelna_wlasnosc,5,3,pustak,miejskie,plastikowe,0.0,52.46,apartamentowiec,pierwotny,do_wykonczenia,0
892,310734.0,350.0,pelna_wlasnosc,5,2,pustak,miejskie,plastikowe,2.0,50.94,apartamentowiec,pierwotny,do_wykonczenia,0
893,421440.0,350.0,pelna_wlasnosc,5,3,pustak,miejskie,plastikowe,2.0,70.24,apartamentowiec,pierwotny,do_wykonczenia,0
894,273642.0,350.0,pelna_wlasnosc,5,2,pustak,miejskie,plastikowe,0.0,46.38,apartamentowiec,pierwotny,do_wykonczenia,0
